País,Total Casos,Nuevos Casos,Total Muertes,Nuevas Muertes,Total Recuperados,Nuevos Recuperados,Casos Activos,Serios/Críticos,Total Casos/1M,Muertes/1M,Total Tests,Tests/1M,Población,Continente
Rwanda,95117,224.0,1206,7.0,45429,6.0,48482,23,7130.0,90.0,2679362,200844,13340542,Africa
Cameroon,85414,-1.0,1368,-1.0,80433,-1.0,3613,152,3124.0,50.0,1751774,64062,27345050,Africa
Australia,84056,1856.0,1148,7.0,63378,1509.0,19530,291,3251.0,44.0,35437386,1370431,25858571,Australia/Oceania
Maldives,83494,162.0,229,-1.0,81544,140.0,1721,23,151237.0,415.0,1439012,2606556,552074,Asia
Jamaica,79127,537.0,1777,5.0,50641,146.0,26709,57,26581.0,597.0,582429,195653,2976853,North America
Luxembourg,77189,-1.0,834,-1.0,75209,-1.0,1146,9,120926.0,1307.0,3497401,5479123,638314,Europe
Singapore,76792,1009.0,60,1.0,70124,510.0,6608,18,13002.0,10.0,18638817,3155830,5906154,Asia
Senegal,73622,34.0,1845,3.0,69155,344.0,2622,9,4261.0,107.0,780049,45148,17277438,Africa
Malawi,61337,50.0,2256,4.0,51840,77.0,7241,67,3109.0,114.0,401287,20341,19727706,Africa
Ivory Coast,58889,146.0,561,8.0,56591,96.0,1737,-1,2168.0,21.0,888751,32713,27168306,Africa
DRC,56387,-1.0,1068,-1.0,30858,-1.0,24461,-1,607.0,12.0,306299,3299,92851165,Africa
Réunion,52643,-1.0,358,-1.0,51126,-1.0,1159,33,58294.0,396.0,1279618,1416975,903063,Africa
Guadeloupe,52480,-1.0,668,-1.0,2250,-1.0,49562,23,131132.0,1669.0,418152,1044839,400207,North America
Angola,52307,99.0,1388,10.0,46025,34.0,4894,8,1534.0,41.0,924815,27120,34101338,Africa
Fiji,49880,161.0,566,-1.0,35929,10.0,13385,39,55157.0,626.0,397881,439976,904325,Australia/Oceania
Trinidad and Tobago,48400,257.0,1413,8.0,42902,150.0,4085,22,34449.0,1006.0,334507,238085,1404989,North America
Eswatini,45352,35.0,1194,-1.0,43085,119.0,1073,10,38606.0,1016.0,335508,285604,1174730,Africa
Madagascar,42898,-1.0,958,-1.0,41322,-1.0,618,3,1502.0,34.0,249510,8739,28551866,Africa
French Polynesia,40178,-1.0,593,-1.0,33500,-1.0,6085,46,142033.0,2096.0,26355,93167,282878,Australia/Oceania
Martinique,39745,-1.0,555,-1.0,104,-1.0,39086,1,106012.0,1480.0,348342,929130,374912,North America
French Guiana,38266,-1.0,235,-1.0,9995,-1.0,28036,34,124223.0,763.0,382427,1241473,308043,South America
Sudan,38000,-1.0,2875,-1.0,31916,-1.0,3209,-1,843.0,64.0,238579,5291,45087857,Africa
Cabo Verde,36970,-1.0,327,-1.0,35740,-1.0,903,23,65630.0,580.0,209041,371095,563309,Africa
Malta,36952,25.0,453,-1.0,35486,51.0,1013,5,83419.0,1023.0,1211456,2734849,442970,Europe
Suriname,36746,318.0,803,7.0,26488,97.0,9455,22,61966.0,1354.0,120401,203035,593007,South America
Mauritania,35380,52.0,765,2.0,33588,106.0,1027,22,7375.0,159.0,463147,96541,4797435,Africa
Syria,30519,182.0,2120,8.0,23007,40.0,5392,-1,1694.0,118.0,103566,5749,18014890,Asia
Guinea,30136,-1.0,370,-1.0,28277,-1.0,1489,24,2222.0,27.0,546969,40327,13563448,Africa
Guyana,29345,273.0,713,7.0,24978,158.0,3654,32,37091.0,901.0,298009,376674,791158,South America
Gabon,27643,-1.0,175,-1.0,26149,-1.0,1319,22,12075.0,76.0,1151098,502824,2289267,Africa
Togo,24519,150.0,213,2.0,20165,294.0,4141,-1,2880.0,25.0,497435,58429,8513456,Africa
Benin,21450,-1.0,146,-1.0,17294,-1.0,4010,5,1715.0,12.0,604310,48317,12507154,Africa
Haiti,21338,-1.0,597,-1.0,19166,-1.0,1575,-1,1844.0,52.0,115741,10003,11571028,North America
Seychelles,20943,-1.0,114,-1.0,20245,-1.0,584,-1,211362.0,1151.0,21504,217024,99086,Africa
Mayotte,20125,-1.0,176,-1.0,2964,-1.0,16985,-1,71676.0,627.0,176919,630105,280777,Africa
Bahamas,20030,-1.0,504,-1.0,17727,-1.0,1799,15,50352.0,1267.0,140805,353958,397801,North America
Somalia,19004,184.0,1063,22.0,9191,53.0,8750,-1,1157.0,65.0,218496,13299,16429200,Africa
Timor-Leste,18994,51.0,103,-1.0,17003,81.0,1888,-1,14082.0,76.0,169501,125663,1348849,Asia
Laos,18814,467.0,16,-1.0,5568,-1.0,13230,-1,2541.0,2.0,447629,60462,7403489,Asia
